,Transaction_ID,Timestamp,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator,Date,Day,Hour
1824,1825,2023-01-03 03:45:00,Van,FTG-140-JKL-345,B-102,Express,Medium,120,120,"12.936687032945434, 77.53113977439017",58,KA10ST8914,0,2023-01-03,3,3
4952,4953,2023-01-03 05:16:00,Motorcycle,,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",65,AP90KL0123,0,2023-01-03,3,5
2777,2778,2023-01-03 05:18:00,Van,FTG-049-WSX-321,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,KA11DE2345,0,2023-01-03,3,5
3277,3278,2023-01-03 05:43:00,Bus ,FTG-534-RFV-098,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",87,GJ23UV6789,0,2023-01-03,3,5
3482,3483,2023-01-03 07:16:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",60,KA45KL7678,0,2023-01-03,3,7
2890,2891,2023-01-03 08:13:00,Sedan,FTG-391-YUI-787,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",61,KA45DI6789,0,2023-01-03,3,8
948,949,2023-01-03 08:22:00,Truck,FTG-801-XYZ-983,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",63,KA65GH2445,0,2023-01-03,3,8
2173,2174,2023-01-03 11:15:00,Truck,FTG-133-JOP-341,C-103,Regular,Large,330,90,"13.21331620748757, 77.55413526894684",92,MH48CD5678,1,2023-01-03,3,11
1507,1508,2023-01-03 15:45:00,Motorcycle,FTG-713-NOP-789,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",72,KA24OP0123,0,2023-01-03,3,15
2086,2087,2023-01-03 16:15:00,Bus ,FTG-995-KLM-678,C-103,Express,Large,330,60,"13.21331620748757, 77.55413526894684",68,MH19KL1234,1,2023-01-03,3,16
203,204,2023-01-03 16:30:00,Bus ,FTG-204-WEF-098,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",86,KA59MN6782,1,2023-01-03,3,16
114,115,2023-01-03 16:30:00,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,KA46GH0123,0,2023-01-03,3,16
376,377,2023-01-03 16:30:00,Sedan,FTG-346-POI-439,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",68,KA59MN6989,0,2023-01-03,3,16
1050,1051,2023-01-03 16:35:00,Bus ,FTG-890-ZAB-456,C-103,Express,Large,340,120,"12.84197701525119, 77.67547528176169",64,MH21UV1234,1,2023-01-03,3,16
1329,1330,2023-01-03 16:45:00,SUV,FTG-093-EFG-012,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",96,KA77IJ8901,0,2023-01-03,3,16
3743,3744,2023-01-03 17:45:00,Van,FTG-040-POU-220,B-102,Regular,Medium,130,100,"12.84197701525119, 77.67547528176169",93,KA12OP5678,1,2023-01-03,3,17
1875,1876,2023-01-03 18:30:00,SUV,FTG-024-GHI-678,B-102,Regular,Large,140,140,"12.936687032945434, 77.53113977439017",60,KA43AB1456,0,2023-01-03,3,18
886,887,2023-01-03 18:45:00,Van,FTG-739-UTY-542,B-102,Express,Medium,110,90,"13.042660878688794, 77.47580097259879",85,KA76KL0123,1,2023-01-03,3,18
794,795,2023-01-03 18:45:00,Truck,FTG-551-YUI-981,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",34,KA97WX6789,0,2023-01-03,3,18
4760,4761,2023-01-03 21:19:00,SUV,FTG-220-TYU-211,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",66,TN67MN8901,0,2023-01-03,3,21
3416,3417,2023-01-03 21:34:00,SUV,FTG-769-NBH-543,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",67,KA45QR2345,0,2023-01-03,3,21
2982,2983,2023-01-03 23:13:00,SUV,FTG-483-LKJ-351,B-102,Express,Large,180,60,"13.059816123454882, 77.77068662374292",56,KA56BF0123,1,2023-01-03,3,23
3438,3439,2023-01-04 01:48:00,Bus ,FTG-791-YUI-981,C-103,Express,Large,290,90,"13.042660878688794, 77.47580097259879",89,KA23GA8901,1,2023-01-04,4,1
1876,1877,2023-01-04 03:20:00,Bus ,FTG-257-JKL-901,C-103,Express,Large,300,300,"12.936687032945434, 77.53113977439017",42,KA76CD7190,0,2023-01-04,4,3
3460,3461,2023-01-04 04:02:00,Car,FTG-813-POI-321,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",67,KA23WX2678,0,2023-01-04,4,4
4588,4589,2023-01-04 04:10:00,Motorcycle,,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",52,WB34YZ6789,0,2023-01-04,4,4
3391,3392,2023-01-04 05:13:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",90,KA45OP5678,0,2023-01-04,4,5
1825,1826,2023-01-04 06:15:00,Sedan,FTG-373-MNO-678,A-101,Regular,Medium,110,110,"12.936687032945434, 77.53113977439017",53,KA10ST8915,0,2023-01-04,4,6
3369,3370,2023-01-04 07:25:00,Car,FTG-722-XSW-654,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",23,KA23JB1234,0,2023-01-04,4,7
958,959,2023-01-04 08:25:00,SUV,FTG-811-QWE-982,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",58,KA95AB2245,0,2023-01-04,4,8
1508,1509,2023-01-04 18:15:00,Truck,FTG-946-QRS-012,C-103,Express,Large,300,70,"12.936687032945434, 77.53113977439017",58,KA27QR4567,1,2023-01-04,4,18
4309,4310,2023-01-04 19:10:00,Truck,FTG-056-NOP-666,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",52,GA56KL0123,0,2023-01-04,4,19
1330,1331,2023-01-04 20:15:00,Bus ,FTG-326-HIJ-345,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",47,KA80KL2345,0,2023-01-04,4,20
2087,2088,2023-01-04 22:00:00,Car,FTG-228-NOP-901,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",91,AP20MN5678,0,2023-01-04,4,22
204,205,2023-01-04 22:10:00,Car,FTG-205-LMN-758,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",55,KA02WX5678,0,2023-01-04,4,22
115,116,2023-01-04 22:10:00,Truck,FTG-116-NBH-338,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA49IJ4567,0,2023-01-04,4,22
377,378,2023-01-04 22:10:00,SUV,FTG-332-IXC-629,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",91,KA62OP0923,1,2023-01-04,4,22
1051,1052,2023-01-04 22:15:00,Car,FTG-123-CDE-789,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",93,AP22WX5678,0,2023-01-04,4,22
2551,2552,2023-01-05 00:18:00,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,KA34TU2342,0,2023-01-05,5,0
3164,3165,2023-01-05 00:23:00,SUV,FTG-451-YUI-977,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",52,KL34MN6789,0,2023-01-05,5,0
1331,1332,2023-01-05 01:30:00,Car,FTG-559-KLM-678,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",82,KA83MN6789,0,2023-01-05,5,1
3095,3096,2023-01-05 02:08:00,Bus ,FTG-676-CDE-432,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",53,KL67OP6789,0,2023-01-05,5,2
2664,2665,2023-01-05 02:49:00,Truck,FTG-135-LKJ-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",67,KA67AD6789,0,2023-01-05,5,2
2088,2089,2023-01-05 03:45:00,Motorcycle,FTG-461-QRS-234,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",52,GA20OP9012,0,2023-01-05,5,3
4717,4718,2023-01-05 05:16:00,Sedan,FTG-177-LMK-109,A-101,Regular,Medium,115,115,"13.21331620748757, 77.55413526894684",93,TN34EF6789,0,2023-01-05,5,5
116,117,2023-01-05 05:40:00,Van,FTG-117-LKI-007,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",66,KA52KL8901,1,2023-01-05,5,5
205,206,2023-01-05 05:40:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",82,KA05YZ9012,0,2023-01-05,5,5
378,379,2023-01-05 05:40:00,Bus ,FTG-339-UTY-537,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",52,KA65QR4561,1,2023-01-05,5,5
1052,1053,2023-01-05 05:45:00,Motorcycle,FTG-456-FGH-012,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",57,GA22YZ9012,0,2023-01-05,5,5
4459,4460,2023-01-05 06:03:00,SUV,FTG-449-RFD-5431,B-102,Regular,Large,140,120,"12.936687032945434, 77.53113977439017",86,DL09ST2345,1,2023-01-05,5,6
3918,3919,2023-01-05 07:10:00,Van,FTG-927-HGT-109,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",62,GA45OP4567,0,2023-01-05,5,7
3299,3300,2023-01-05 07:48:00,Car,FTG-556-LMK-432,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",76,GJ56IJ6789,0,2023-01-05,5,7
968,969,2023-01-05 08:28:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",44,MH25UV2345,0,2023-01-05,5,8
1826,1827,2023-01-05 08:30:00,SUV,FTG-606-PQR-901,B-102,Express,Large,140,140,"12.936687032945434, 77.53113977439017",47,KA10ST8916,0,2023-01-05,5,8
2799,2800,2023-01-05 08:32:00,Sedan,FTG-213-POI-331,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",97,KA32DE6789,0,2023-01-05,5,8
1877,1878,2023-01-05 09:10:00,Car,FTG-490-MNO-234,A-101,Regular,Small,70,70,"12.936687032945434, 77.53113977439017",57,KA09EF1134,0,2023-01-05,5,9
2184,2185,2023-01-05 10:00:00,Bus ,FTG-144-MKH-048,C-103,Express,Large,330,100,"13.21331620748757, 77.55413526894684",62,GA52YZ9012,1,2023-01-05,5,10
2712,2713,2023-01-05 11:13:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",67,KA47OP7788,0,2023-01-05,5,11
4545,4546,2023-01-05 13:08:00,Car,FTG-615-DCV-765,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",81,TS67ST2345,0,2023-01-05,5,13
4674,4675,2023-01-05 13:14:00,Van,FTG-134-RFV-098,B-102,Express,Medium,125,115,"13.21331620748757, 77.55413526894684",53,WB34CD7890,1,2023-01-05,5,13
4802,4803,2023-01-05 13:21:00,SUV,FTG-262-NJH-654,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",74,KL12WX6789,0,2023-01-05,5,13
4416,4417,2023-01-05 14:01:00,Sedan,FTG-406-GHI-422,A-101,Express,Medium,110,110,"12.936687032945434, 77.53113977439017",53,RJ78KL8901,0,2023-01-05,5,14
2847,2848,2023-01-05 17:18:00,Van,FTG-348-JKL-896,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",93,KA76DE2345,0,2023-01-05,5,17
3569,3570,2023-01-05 19:46:00,Sedan,FTG-923-NMK-321,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",96,KA34OP1234,0,2023-01-05,5,19
1509,1510,2023-01-05 20:30:00,Van,FTG-179-TUV-345,B-102,Regular,Medium,120,120,"12.936687032945434, 77.53113977439017",80,KA30ST8901,0,2023-01-05,5,20
3073,3074,2023-01-05 23:08:00,SUV,FTG-654-KJH-098,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",52,KA56TR4567,0,2023-01-05,5,23
3324,3325,2023-01-06 01:10:00,Sedan,FTG-581-BVC-987,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",87,MH34CD6789,0,2023-01-06,6,1
3809,3810,2023-01-06 03:26:00,Bus ,FTG-105-EDC-765,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",98,TN45UV4567,0,2023-01-06,6,3
4266,4267,2023-01-06 04:10:00,Motorcycle,,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",48,GA34CD6789,0,2023-01-06,6,4
2917,2918,2023-01-06 05:18:00,Van,FTG-418-UYT-866,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",94,KA45DG6789,0,2023-01-06,6,5
1332,1333,2023-01-06 05:45:00,Motorcycle,FTG-792-NOP-901,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",59,KA86OP0122,0,2023-01-06,6,5
4845,4846,2023-01-06 06:23:00,Bus ,FTG-305-LMN-765,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",92,MH23QR2345,0,2023-01-06,6,6
3635,3636,2023-01-06 07:27:00,Car,FTG-989-QAZ-543,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",79,KA78DE8901,0,2023-01-06,6,7
3831,3832,2023-01-06 07:41:00,Car,FTG-117-LWI-109,A-101,Regular,Small,100,80,"12.84197701525119, 77.67547528176169",82,TN67LM2345,1,2023-01-06,6,7
978,979,2023-01-06 08:32:00,Sedan,FTG-832-IXC-651,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",68,MH11UV5566,0,2023-01-06,6,8
4201,4202,2023-01-06 08:53:00,Bus ,FTG-005-MNO-555,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",68,DL45GH2345,0,2023-01-06,6,8
4114,4115,2023-01-06 09:24:00,Van,FTG-164-DEF-098,B-102,Express,Medium,120,120,"12.936687032945434, 77.53113977439017",65,MH90UV0123,0,2023-01-06,6,9
2089,2090,2023-01-06 09:35:00,Truck,FTG-694-TUV-567,C-103,Regular,Large,330,125,"13.21331620748757, 77.55413526894684",82,MH20QR3456,1,2023-01-06,6,9
1827,1828,2023-01-06 10:45:00,Bus ,FTG-839-STU-234,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",51,KA10ST8917,0,2023-01-06,6,10
206,207,2023-01-06 11:20:00,Truck,FTG-217-JKL-104,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",63,KA08AB3456,1,2023-01-06,6,11
379,380,2023-01-06 11:20:00,Car,FTG-374-VFR-084,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,KA02CD5671,0,2023-01-06,6,11
0,1,2023-01-06 11:20:00,Bus ,FTG-001-ABC-121,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",65,KA11AB1234,1,2023-01-06,6,11
117,118,2023-01-06 11:20:00,Sedan,FTG-118-UYT-884,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,KA55MN2345,0,2023-01-06,6,11
2734,2735,2023-01-06 14:23:00,Truck,FTG-215-EDC-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",60,KA68EF9900,0,2023-01-06,6,14
1878,1879,2023-01-06 14:55:00,Motorcycle,FTG-723-PQR-567,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",49,KA58GH5618,0,2023-01-06,6,14
2529,2530,2023-01-06 21:04:00,Car,FTG-130-LPO-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,KA56BC0121,0,2023-01-06,6,21
4888,4889,2023-01-06 22:25:00,Car,FTG-348-JKL-876,A-101,Express,Small,90,90,"13.21331620748757, 77.55413526894684",62,MH56AB4567,0,2023-01-06,6,22
1510,1511,2023-01-06 22:45:00,Sedan,FTG-412-WXY-678,A-101,Express,Medium,110,70,"12.936687032945434, 77.53113977439017",73,KA33UV2345,1,2023-01-06,6,22
1511,1512,2023-01-07 01:15:00,SUV,FTG-645-ZAB-901,B-102,Regular,Large,140,140,"12.936687032945434, 77.53113977439017",68,KA36WX6789,0,2023-01-07,7,1
3983,3984,2023-01-07 02:26:00,SUV,FTG-456-YUI-973,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",75,GA90NO3456,0,2023-01-07,7,2
3896,3897,2023-01-07 02:57:00,Truck,FTG-772-QAZ-654,C-103,Express,Large,340,120,"12.84197701525119, 77.67547528176169",51,GA23WX6789,1,2023-01-07,7,2
3613,3614,2023-01-07 04:13:00,Bus ,FTG-967-MKF-109,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",89,KA90LM5678,0,2023-01-07,7,4
2573,2574,2023-01-07 04:32:00,Truck,FTG-064-VFR-876,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",82,KA90LM5178,0,2023-01-07,7,4
4179,4180,2023-01-07 04:40:00,SUV,FTG-169-NBH-563,B-102,Regular,Large,140,140,"12.936687032945434, 77.53113977439017",58,DL78OP6789,0,2023-01-07,7,4
3008,3009,2023-01-07 05:43:00,Van,FTG-509-RST-553,B-102,Express,Medium,110,90,"13.042660878688794, 77.47580097259879",57,KA67BB4567,1,2023-01-07,7,5
2686,2687,2023-01-07 06:03:00,Van,FTG-137-HGT-109,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",61,KA87QR6789,0,2023-01-07,7,6
4005,4006,2023-01-07 06:40:00,Bus ,FTG-137-ABC-921,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",63,KA12OP3456,0,2023-01-07,7,6
988,989,2023-01-07 08:36:00,Car,FTG-234-VWX-890,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",50,MH01AB1234,0,2023-01-07,7,8
2195,2196,2023-01-07 09:45:00,Van,FTG-155-EDC-735,B-102,Regular,Medium,125,90,"13.21331620748757, 77.55413526894684",94,AP56UV1234,1,2023-01-07,7,9
1333,1334,2023-01-07 10:15:00,Truck,FTG-025-QRS-234,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",87,KA89QR4562,0,2023-01-07,7,10
3853,3854,2023-01-07 10:54:00,Motorcycle,,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",94,TN89DE0123,0,2023-01-07,7,10
3940,3941,2023-01-07 11:24:00,Sedan,FTG-044-MKH-099,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",53,GA67FG2345,0,2023-01-07,7,11
3504,3505,2023-01-07 11:30:00,Truck,FTG-858-VFR-876,C-103,Express,Large,340,130,"12.84197701525119, 77.67547528176169",47,KA45CD4507,1,2023-01-07,7,11
4136,4137,2023-01-07 12:38:00,Sedan,FTG-166-PLM-432,A-101,Express,Medium,110,110,"12.936687032945434, 77.53113977439017",55,DL56GH0123,0,2023-01-07,7,12
1828,1829,2023-01-07 13:15:00,Car,FTG-072-VWX-567,A-101,Express,Small,70,70,"12.936687032945434, 77.53113977439017",44,KA10ST8918,0,2023-01-07,7,13
